commune_id_2cap,time,commune_name_2cap,provinceName_2cap,nguycosatlo,nguycoluquet
1722,2026-09-12 16:00:00,Cẩm Lạc,Hà Tĩnh,Trung bình,Trung bình
1700,2026-09-12 16:00:00,Hương Phố,Hà Tĩnh,Trung bình,Trung bình
1701,2026-09-12 16:00:00,Hương Xuân,Hà Tĩnh,Cao,Cao
1725,2026-09-12 16:00:00,Kỳ Anh,Hà Tĩnh,Trung bình,Trung bình
1729,2026-09-12 16:00:00,Kỳ Hoa,Hà Tĩnh,Trung bình,Trung bình
1728,2026-09-12 16:00:00,Kỳ Khang,Hà Tĩnh,Trung bình,Trung bình
1732,2026-09-12 16:00:00,Kỳ Lạc,Hà Tĩnh,Cao,Cao
1733,2026-09-12 16:00:00,Kỳ Thượng,Hà Tĩnh,Cao,Cao
1727,2026-09-12 16:00:00,Kỳ Văn,Hà Tĩnh,Trung bình,Trung bình
1724,2026-09-12 16:00:00,Kỳ Xuân,Hà Tĩnh,Trung bình,Trung bình
1702,2026-09-12 16:00:00,Phúc Trạch,Hà Tĩnh,Trung bình,Trung bình
1723,2026-09-12 16:00:00,Sông Trí,Hà Tĩnh,Trung bình,Trung bình
1675,2026-09-12 16:00:00,Sơn Kim 2,Hà Tĩnh,Trung bình,Trung bình
1672,2026-09-12 16:00:00,Sơn Tây,Hà Tĩnh,Trung bình,Trung bình
1730,2026-09-12 16:00:00,Vũng Áng,Hà Tĩnh,Trung bình,Trung bình
2222,2026-09-12 16:00:00,Bác Ái Tây,Khánh Hòa,Trung bình,Trung bình
2208,2026-09-12 16:00:00,Diên Điền,Khánh Hòa,Trung bình,Trung bình
2190,2026-09-12 16:00:00,Tu Bông,Khánh Hòa,Rất cao,Rất cao
2199,2026-09-12 16:00:00,Tân Định,Khánh Hòa,Trung bình,Trung bình
2205,2026-09-12 16:00:00,Tây Khánh Vĩnh,Khánh Hòa,Trung bình,Trung bình
2196,2026-09-12 16:00:00,Tây Ninh Hòa,Khánh Hòa,Trung bình,Trung bình
2193,2026-09-12 16:00:00,Vạn Hưng,Khánh Hòa,Trung bình,Trung bình
2192,2026-09-12 16:00:00,Vạn Thắng,Khánh Hòa,Trung bình,Trung bình
2191,2026-09-12 16:00:00,Đại Lãnh,Khánh Hòa,Trung bình,Trung bình
2438,2026-09-12 16:00:00,D'Ran,Lâm Đồng,Trung bình,Trung bình
2464,2026-09-12 16:00:00,Đạ Tẻh 2,Lâm Đồng,Trung bình,Trung bình
2463,2026-09-12 16:00:00,Đạ Tẻh 3,Lâm Đồng,Trung bình,Trung bình
1642,2026-09-12 16:00:00,Tam Đồng,Nghệ An,Trung bình,Trung bình
1963,2026-09-12 16:00:00,Ba Gia,Quảng Ngãi,Cao,Cao
1994,2026-09-12 16:00:00,Ba Vinh,Quảng Ngãi,Rất cao,Rất cao
1999,2026-09-12 16:00:00,Ba Vì,Quảng Ngãi,Trung bình,Trung bình
1995,2026-09-12 16:00:00,Ba Động,Quảng Ngãi,Trung bình,Trung bình
1952,2026-09-12 16:00:00,Bình Chương,Quảng Ngãi,Cao,Cao
1951,2026-09-12 16:00:00,Bình Minh,Quảng Ngãi,Cao,Cao
1957,2026-09-12 16:00:00,Cà Đam,Quảng Ngãi,Rất cao,Rất cao
2026,2026-09-12 16:00:00,Kon Plông,Quảng Ngãi,Trung bình,Trung bình
1979,2026-09-12 16:00:00,Minh Long,Quảng Ngãi,Rất cao,Rất cao
2024,2026-09-12 16:00:00,Măng Bút,Quảng Ngãi,Trung bình,Trung bình
2023,2026-09-12 16:00:00,Măng Ri,Quảng Ngãi,Trung bình,Trung bình
2025,2026-09-12 16:00:00,Măng Đen,Quảng Ngãi,Trung bình,Trung bình
1984,2026-09-12 16:00:00,Mộ Đức,Quảng Ngãi,Trung bình,Trung bình
1969,2026-09-12 16:00:00,Nghĩa Giang,Quảng Ngãi,Cao,Cao
1990,2026-09-12 16:00:00,Nguyễn Nghiêm,Quảng Ngãi,Trung bình,Trung bình
2011,2026-09-12 16:00:00,Ngọc Linh,Quảng Ngãi,Cao,Cao
1981,2026-09-12 16:00:00,Phước Giang,Quảng Ngãi,Trung bình,Trung bình
1970,2026-09-12 16:00:00,Sơn Hà,Quảng Ngãi,Rất cao,Rất cao
1971,2026-09-12 16:00:00,Sơn Hạ,Quảng Ngãi,Rất cao,Rất cao
1974,2026-09-12 16:00:00,Sơn Kỳ,Quảng Ngãi,Trung bình,Trung bình
1972,2026-09-12 16:00:00,Sơn Linh,Quảng Ngãi,Rất cao,Rất cao
1978,2026-09-12 16:00:00,Sơn Mai,Quảng Ngãi,Trung bình,Trung bình
1973,2026-09-12 16:00:00,Sơn Thủy,Quảng Ngãi,Rất cao,Rất cao
1976,2026-09-12 16:00:00,Sơn Tây,Quảng Ngãi,Rất cao,Rất cao
1977,2026-09-12 16:00:00,Sơn Tây Hạ,Quảng Ngãi,Cao,Cao
1975,2026-09-12 16:00:00,Sơn Tây Thượng,Quảng Ngãi,Rất cao,Rất cao
1965,2026-09-12 16:00:00,Sơn Tịnh,Quảng Ngãi,Cao,Cao
1955,2026-09-12 16:00:00,Thanh Bồng,Quảng Ngãi,Rất cao,Rất cao
1983,2026-09-12 16:00:00,Thiện Tín,Quảng Ngãi,Cao,Cao
1954,2026-09-12 16:00:00,Trà Bồng,Quảng Ngãi,Rất cao,Rất cao
1968,2026-09-12 16:00:00,Trà Giang,Quảng Ngãi,Rất cao,Rất cao
1962,2026-09-12 16:00:00,Trường Giang,Quảng Ngãi,Cao,Cao
1958,2026-09-12 16:00:00,Tây Trà,Quảng Ngãi,Cao,Cao
1959,2026-09-12 16:00:00,Tây Trà Bồng,Quảng Ngãi,Rất cao,Rất cao
2010,2026-09-12 16:00:00,Xốp,Quảng Ngãi,Cao,Cao
1982,2026-09-12 16:00:00,Đình Cương,Quảng Ngãi,Trung bình,Trung bình
1956,2026-09-12 16:00:00,Đông Trà Bồng,Quảng Ngãi,Rất cao,Rất cao
2013,2026-09-12 16:00:00,Đăk Môn,Quảng Ngãi,Trung bình,Trung bình
2009,2026-09-12 16:00:00,Đăk PLô,Quảng Ngãi,Cao,Cao
2008,2026-09-12 16:00:00,Đăk Pék,Quảng Ngãi,Trung bình,Trung bình
2018,2026-09-12 16:00:00,Đăk Sao,Quảng Ngãi,Trung bình,Trung bình
1788,2026-09-12 16:00:00,A Dơi,Quảng Trị,Cao,Cao
1796,2026-09-12 16:00:00,Ba Lòng,Quảng Trị,Trung bình,Trung bình
1799,2026-09-12 16:00:00,Cam Lộ,Quảng Trị,Cao,Cao
1793,2026-09-12 16:00:00,Cồn Tiên,Quảng Trị,Trung bình,Trung bình
1800,2026-09-12 16:00:00,Hiếu Giang,Quảng Trị,Trung bình,Trung bình
1794,2026-09-12 16:00:00,Hướng Hiệp,Quảng Trị,Trung bình,Trung bình
1785,2026-09-12 16:00:00,Hướng Lập,Quảng Trị,Cao,Cao
