type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,Cảnh báo value (0-4),Chênh lệch cảnh báo (m),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,x,y,Dung tích (m3),Dung tích TK (m3),Tỷ lệ dung tích (%),Q đến (m3/s),Q xả (m3/s),Mực nước BT (m),Mực nước GC (m),Mã Cảnh báo,province_code,basin_code
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-13 19:00,202.61,Xuong,,,,,,,,108.230063,13.637508,207.13002,200.0,103.56501,54.66,79.49,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-14 19:00,202.54,BinhThuong,,,,,,,,108.230063,13.637508,204.819778,200.0,102.409889,41.8,11.62,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-15 19:00,202.65,Len,,,,,,,,108.230063,13.637508,208.4498,200.0,104.2249,93.9,11.79,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-16 19:00,202.65,Len,,,,,,,,108.230063,13.637508,208.4498,200.0,104.2249,122.78,55.95,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-17 19:00,202.97,Len,,,,,,,,108.230063,13.637508,219.01004,200.0,109.50502,201.19,119.08,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-18 19:00,203.07,Len,,,,,,,,108.230063,13.637508,222.310242,200.0,111.155121,200.94,118.83,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-19 07:00,203.2,Len,,,,,,,,108.230063,13.637508,226.5999,200.0,113.29995,338.81,134.48,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-19 19:00,203.5,Len,,,,,,,,108.230063,13.637508,236.5,200.0,118.25,219.17,106.5,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-26 07:00,203.26,Len,,,,,,,,108.230063,13.637508,228.579819,200.0,114.289909,72.61,204.73,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-26 13:00,203.18,Xuong,,,,,,,,108.230063,13.637508,225.939758,200.0,112.969879,81.33,197.83,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-26 19:00,203.11,Xuong,,,,,,,,108.230063,13.637508,223.63002,200.0,111.81501,107.06,193.01,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-27 13:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,85.57,85.57,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-27 19:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,82.83,61.83,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-28 07:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,71.7,50.7,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-28 19:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,62.94,41.94,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-29 19:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,74.53,53.53,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-11-30 19:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,71.7,50.7,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-12-01 07:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,85.57,64.57,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-12-01 19:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,77.33,56.33,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-12-02 13:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,65.77,44.77,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-12-02 19:00,203.0,BinhThuong,,,,,,,,108.230063,13.637508,220.0,200.0,110.0,62.94,41.94,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-12-03 19:00,202.99,Xuong,,,,,,,,108.230063,13.637508,219.670181,200.0,109.835091,97.06,91.34,205.15,209.92,1.0,64.0,1.0
Lake,9CBE33CD-5CFB-4CB9-BAEB-59147A825DF0,Ayun Hạ,Ba,Gia Lai,2025-12-04 07:00,202.99,BinhThuong,,,,,,,,108.230063,13.637508,219.670181,200.0,109.835091,79.98,58.9,205.15,209.92,1.0,64.0,1.0
